,docking score
l12_1,1571.899
l13_4,1387.406
l12_3,1277.505
l13_2,1492.932
l12_2,1450.367
l13_1,1414.874
l12_5,1436.794
l12_4,1362.866
l13_5,1425.232
l13_3,1535.292
