144	1.2	0
-2.356194	1.574060	2.783565
0.000000	0.000000	0.000000
../data/3_zdock/HER2_m.pdb	37.529	5.447	5.464
../data/3_zdock/antibody_m/l12_2.pdb	0.478	8.530	-0.838
-0.523599	0.866395	-2.492918	134	45	132	1450.367
-3.141593	2.115563	0.685730	116	4	113	1318.686
2.094395	1.554776	0.100351	114	10	110	1287.493
2.879793	1.977582	0.969896	108	9	113	1282.136
-2.879793	1.440580	2.260026	102	9	126	1265.198
2.356194	1.683268	0.374177	114	11	109	1256.400
2.094395	1.721184	-0.153948	114	5	114	1253.332
2.617994	2.724429	-0.348782	120	143	121	1245.209
1.308997	0.961715	0.014085	121	3	113	1236.358
1.570796	1.554776	0.100351	117	6	110	1232.483
0.785398	0.571433	-1.188419	113	4	117	1222.312
1.570796	1.113094	-0.272241	111	11	111	1220.692
2.617994	2.404280	-0.174044	118	1	115	1218.809
2.879793	2.115563	0.685730	112	6	113	1209.997
-2.879793	1.872854	1.543456	106	5	124	1192.887
2.094395	2.579248	-2.364801	128	130	35	1186.585
1.570796	1.417623	-0.202254	118	2	115	1184.236
2.617994	1.875281	0.107086	115	8	110	1177.334
1.832596	1.554776	0.100351	123	7	106	1173.584
-0.523599	0.762244	-0.273349	124	5	111	1173.470
1.832596	1.417623	-0.202254	111	10	112	1168.829
0.000000	1.741644	-2.695914	132	128	37	1168.074
0.523599	2.343981	-1.040456	110	4	114	1166.183
0.523599	0.850607	-1.335383	111	4	121	1164.468
-3.141593	1.812176	0.656819	116	8	110	1160.083
-3.141593	1.977582	0.969896	111	7	114	1156.190
2.356194	1.242974	-2.977882	120	142	38	1146.604
-2.879793	1.809167	1.213774	109	4	119	1145.138
2.617994	1.569311	-3.003978	131	119	32	1140.849
-2.094395	0.619654	-2.216909	130	138	35	1138.594
-2.879793	1.310100	1.488307	109	13	109	1137.307
-2.617994	0.910508	1.903534	104	9	118	1133.853
1.570796	0.866955	-0.931351	112	5	114	1133.417
